Date,Open,High,Low,Close,Adj Close,Volume
1996-09-06,4.675000,4.700000,4.625000,4.700000,1.532567,10000
1996-09-09,4.650000,4.680000,4.400000,4.400000,1.434744,21000
1996-09-10,4.300000,4.385000,4.295000,4.385000,1.429853,19000
1996-09-11,4.200000,4.200000,4.100000,4.120000,1.343442,16000
1996-09-12,4.000000,4.025000,3.890000,4.000000,1.304313,19000
1996-09-13,3.940000,3.980000,3.850000,3.980000,1.297791,14000
1996-09-16,3.900000,3.900000,3.705000,3.705000,1.208120,6000
1996-09-17,3.575000,3.600000,3.550000,3.600000,1.173881,20000
1996-09-18,3.600000,3.850000,3.590000,3.840000,1.252140,32000
1996-09-19,3.835000,3.840000,3.710000,3.750000,1.222793,20000
1996-09-20,3.615000,3.800000,3.610000,3.715000,1.211380,48000
1996-09-23,3.700000,3.700000,3.555000,3.555000,1.159208,27000
1996-09-24,3.570000,3.570000,3.315000,3.325000,1.084210,44000
1996-09-25,3.300000,3.400000,3.200000,3.305000,1.077688,123000
1996-09-26,3.200000,3.225000,3.100000,3.160000,1.030407,27000
1996-09-27,3.060000,3.075000,3.010000,3.030000,0.988017,23000
1996-09-30,2.900000,3.050000,2.825000,2.950000,0.961931,40000
1996-10-01,2.900000,2.945000,2.750000,2.840000,0.926062,22000
1996-10-02,2.840000,2.840000,2.840000,2.840000,0.926062,0
1996-10-03,2.680000,2.850000,2.680000,2.775000,0.904867,26000
1996-10-04,2.750000,2.750000,2.585000,2.600000,0.847803,51000
1996-10-07,2.550000,2.590000,2.450000,2.450000,0.798891,19000
1996-10-08,2.350000,2.515000,2.350000,2.515000,0.820087,102000
1996-10-09,2.635000,2.650000,2.580000,2.650000,0.864107,13000
1996-10-10,2.750000,2.840000,2.750000,2.840000,0.926062,32000
1996-10-11,3.000000,3.015000,3.000000,3.015000,0.983126,34000
1996-10-14,3.015000,3.015000,3.000000,3.015000,0.983126,38000
1996-10-15,3.015000,3.015000,3.015000,3.015000,0.983126,28000
1996-10-16,3.175000,3.175000,3.115000,3.140000,1.023885,25000
1996-10-17,3.100000,3.145000,3.075000,3.075000,1.002690,23000
1996-10-18,3.080000,3.100000,3.050000,3.050000,0.994538,23000
1996-10-21,3.050000,3.050000,3.050000,3.050000,0.994538,0
1996-10-22,3.095000,3.225000,3.070000,3.080000,1.004321,22000
1996-10-23,3.300000,3.300000,3.200000,3.300000,1.076058,19000
1996-10-24,3.400000,3.450000,3.215000,3.215000,1.048342,21000
1996-10-25,3.135000,3.245000,3.135000,3.200000,1.043450,10000
1996-10-28,3.205000,3.225000,3.130000,3.150000,1.027146,16000
1996-10-29,3.055000,3.150000,2.940000,2.950000,0.961931,71000
1996-10-30,2.950000,2.950000,2.950000,2.950000,0.961931,0
1996-10-31,2.800000,2.960000,2.800000,2.960000,0.965192,25000
1996-11-01,3.000000,3.000000,2.930000,2.935000,0.957039,9000
1996-11-04,2.900000,2.900000,2.750000,2.750000,0.896715,42000
1996-11-05,2.650000,2.675000,2.560000,2.560000,0.834760,52000
1996-11-06,2.500000,2.570000,2.405000,2.440000,0.795631,44000
1996-11-07,2.450000,2.450000,2.270000,2.270000,0.740197,71000
1996-11-08,2.305000,2.430000,2.300000,2.430000,0.792370,67000
1996-11-11,2.395000,2.600000,2.395000,2.520000,0.821717,40000
1996-11-12,2.520000,2.520000,2.520000,2.520000,0.821717,0
1996-11-13,2.675000,2.675000,2.475000,2.595000,0.846173,133000
1996-11-14,2.430000,2.610000,2.430000,2.575000,0.839651,59000
1996-11-15,2.560000,2.600000,2.560000,2.595000,0.846173,21000
1996-11-18,2.640000,2.650000,2.605000,2.625000,0.855955,38000
1996-11-19,2.640000,2.655000,2.535000,2.580000,0.841282,107000
1996-11-20,2.600000,2.600000,2.490000,2.515000,0.820087,45000
1996-11-21,2.500000,2.500000,2.460000,2.475000,0.807043,10000
1996-11-22,2.475000,2.475000,2.440000,2.450000,0.798891,12000
1996-11-25,2.325000,2.325000,2.280000,2.280000,0.743458,18000
1996-11-26,2.300000,2.345000,2.290000,2.295000,0.748349,37000
1996-11-27,2.310000,2.375000,2.310000,2.375000,0.774436,8000
1996-11-28,2.300000,2.350000,2.280000,2.320000,0.756501,13000
1996-11-29,2.250000,2.325000,2.250000,2.325000,0.758132,20000
1996-12-02,2.325000,2.325000,2.200000,2.230000,0.727154,43000
1996-12-03,2.225000,2.225000,2.150000,2.165000,0.705959,47000
1996-12-04,2.100000,2.200000,2.025000,2.200000,0.717372,184000
1996-12-05,2.155000,2.350000,2.150000,2.335000,0.761392,81000
1996-12-06,2.325000,2.325000,2.270000,2.270000,0.740197,54000
1996-12-09,2.300000,2.300000,2.240000,2.295000,0.748349,115000
1996-12-10,2.290000,2.310000,2.275000,2.300000,0.749980,133000
1996-12-11,2.350000,2.460000,2.350000,2.460000,0.802152,14000
1996-12-12,2.410000,2.425000,2.350000,2.350000,0.766284,43000
1996-12-13,2.300000,2.325000,2.300000,2.325000,0.758132,9000
1996-12-16,2.340000,2.345000,2.290000,2.300000,0.749980,15000
1996-12-17,2.340000,2.340000,2.305000,2.320000,0.756501,33000
1996-12-18,2.450000,2.450000,2.325000,2.330000,0.759762,21000
1996-12-19,2.360000,2.400000,2.350000,2.385000,0.777696,27000
1996-12-20,2.550000,2.550000,2.425000,2.470000,0.805413,43000
1996-12-23,2.500000,2.555000,2.480000,2.480000,0.808674,27000
1996-12-24,2.500000,2.500000,2.400000,2.470000,0.805413,27000
1996-12-25,2.470000,2.470000,2.470000,2.470000,0.805413,0
1996-12-26,2.570000,2.645000,2.550000,2.645000,0.862477,32000
1996-12-27,2.645000,2.645000,2.645000,2.645000,0.862477,0
1996-12-30,2.645000,2.645000,2.645000,2.645000,0.862477,0
1996-12-31,2.600000,2.830000,2.600000,2.735000,0.891824,99000
1997-01-01,2.850000,2.900000,2.850000,2.900000,0.945627,6000
1997-01-02,3.000000,3.105000,3.000000,3.100000,1.010842,68000
1997-01-03,3.050000,3.100000,2.885000,3.010000,0.981495,73000
1997-01-06,3.000000,3.080000,2.960000,2.975000,0.970083,52000
1997-01-07,2.925000,2.975000,2.900000,2.945000,0.960300,49000
1997-01-08,3.100000,3.150000,3.100000,3.105000,1.012472,74000
1997-01-09,3.050000,3.055000,3.000000,3.000000,0.978234,49000
1997-01-10,3.100000,3.100000,3.035000,3.085000,1.005951,46000
1997-01-13,2.950000,3.040000,2.900000,3.035000,0.989647,76000
1997-01-14,2.935000,2.975000,2.900000,2.945000,0.960300,37000
1997-01-15,3.050000,3.150000,2.955000,3.105000,1.012472,37000
